Dataset, ModelName, Transformation, isTransformed, pass@10, codebleu
HumanEval-Java, plbart_finetune_base, variable_renaming, original, 14.53, 82.644
HumanEval-Java, plbart_finetune_base, variable_renaming, transformed, 3.846, 81.959
HumanEval-Java, plbart_finetune_large, variable_renaming, original, 21.875, 83.122
HumanEval-Java, plbart_finetune_large, variable_renaming, transformed, 4.762, 82.21
HumanEval-Java, codet5_finetune_small, variable_renaming, original, 19.355, 79.197
HumanEval-Java, codet5_finetune_small, variable_renaming, transformed, 5.66, 81.448
HumanEval-Java, codet5_finetune_base, variable_renaming, original, 24.812, 81.721
HumanEval-Java, codet5_finetune_base, variable_renaming, transformed, 7.407, 81.599
HumanEval-Java, codet5_finetune_large, variable_renaming, original, 23.664, 77.94
HumanEval-Java, codet5_finetune_large, variable_renaming, transformed, 6.542, 80.975
HumanEval-Java, plbart_finetune_base, method_renaming, original, 19.459, 82.644
HumanEval-Java, plbart_finetune_base, method_renaming, transformed, 18.132, 82.774
HumanEval-Java, plbart_finetune_large, method_renaming, original, 23.98, 83.122
HumanEval-Java, plbart_finetune_large, method_renaming, transformed, 22.798, 83.058
HumanEval-Java, codet5_finetune_small, method_renaming, original, 21.164, 79.197
HumanEval-Java, codet5_finetune_small, method_renaming, transformed, 19.459, 82.946
HumanEval-Java, codet5_finetune_base, method_renaming, original, 25.871, 81.721
HumanEval-Java, codet5_finetune_base, method_renaming, transformed, 24.365, 82.7
HumanEval-Java, codet5_finetune_large, method_renaming, original, 24.747, 77.94
HumanEval-Java, codet5_finetune_large, method_renaming, transformed, 23.98, 81.688
HumanEval-Java, plbart_finetune_base, parameter_renaming, original, 17.857, 82.644
HumanEval-Java, plbart_finetune_base, parameter_renaming, transformed, 18.687, 83.821
HumanEval-Java, plbart_finetune_large, parameter_renaming, original, 22.596, 83.122
HumanEval-Java, plbart_finetune_large, parameter_renaming, transformed, 22.967, 83.845
HumanEval-Java, codet5_finetune_small, parameter_renaming, original, 20.297, 79.197
HumanEval-Java, codet5_finetune_small, parameter_renaming, transformed, 19.095, 83.978
HumanEval-Java, codet5_finetune_base, parameter_renaming, original, 24.766, 81.721
HumanEval-Java, codet5_finetune_base, parameter_renaming, transformed, 24.413, 83.914
HumanEval-Java, codet5_finetune_large, parameter_renaming, original, 24.413, 77.94
HumanEval-Java, codet5_finetune_large, parameter_renaming, transformed, 23.697, 82.527
HumanEval-Java, plbart_finetune_base, boolean_exchange, original, 12.5, 86.035
HumanEval-Java, plbart_finetune_base, boolean_exchange, transformed, 12.5, 84.74
HumanEval-Java, plbart_finetune_large, boolean_exchange, original, 22.222, 86.139
HumanEval-Java, plbart_finetune_large, boolean_exchange, transformed, 22.222, 85.063
HumanEval-Java, codet5_finetune_small, boolean_exchange, original, 22.222, 83.684
HumanEval-Java, codet5_finetune_small, boolean_exchange, transformed, 12.5, 84.45
HumanEval-Java, codet5_finetune_base, boolean_exchange, original, 22.222, 86.024
HumanEval-Java, codet5_finetune_base, boolean_exchange, transformed, 12.5, 85.395
HumanEval-Java, codet5_finetune_large, boolean_exchange, original, 12.5, 85.258
HumanEval-Java, codet5_finetune_large, boolean_exchange, transformed, 0.0, 84.272
HumanEval-Java, plbart_finetune_base, loop_exchange, original, 19.318, 84.821
HumanEval-Java, plbart_finetune_base, loop_exchange, transformed, 5.333, 85.845
HumanEval-Java, plbart_finetune_large, loop_exchange, original, 25.263, 85.015
HumanEval-Java, plbart_finetune_large, loop_exchange, transformed, 7.19, 84.822
HumanEval-Java, codet5_finetune_small, loop_exchange, original, 21.547, 84.23
HumanEval-Java, codet5_finetune_small, loop_exchange, transformed, 5.333, 84.865
HumanEval-Java, codet5_finetune_base, loop_exchange, original, 26.042, 84.76
HumanEval-Java, codet5_finetune_base, loop_exchange, transformed, 5.96, 84.561
HumanEval-Java, codet5_finetune_large, loop_exchange, original, 28.283, 83.478
HumanEval-Java, codet5_finetune_large, loop_exchange, transformed, 8.387, 84.244
HumanEval-Java, plbart_finetune_base, reorder_condition, original, 15.428, 83.802
HumanEval-Java, plbart_finetune_base, reorder_condition, transformed, 9.731, 85.814
HumanEval-Java, plbart_finetune_large, reorder_condition, original, 20.132, 84.162
HumanEval-Java, plbart_finetune_large, reorder_condition, transformed, 11.971, 85.735
HumanEval-Java, codet5_finetune_small, reorder_condition, original, 18.293, 83.962
HumanEval-Java, codet5_finetune_small, reorder_condition, transformed, 10.534, 85.371
HumanEval-Java, codet5_finetune_base, reorder_condition, original, 21.992, 83.907
HumanEval-Java, codet5_finetune_base, reorder_condition, transformed, 12.227, 85.627
HumanEval-Java, codet5_finetune_large, reorder_condition, original, 23.185, 82.539
HumanEval-Java, codet5_finetune_large, reorder_condition, transformed, 12.482, 85.06
HumanEval-Java, plbart_finetune_base, insert_log_statement, original, 16.827, 84.135
HumanEval-Java, plbart_finetune_base, insert_log_statement, transformed, 7.487, 83.665
HumanEval-Java, plbart_finetune_large, insert_log_statement, original, 21.719, 84.64
HumanEval-Java, plbart_finetune_large, insert_log_statement, transformed, 10.825, 83.769
HumanEval-Java, codet5_finetune_small, insert_log_statement, original, 19.159, 84.441
HumanEval-Java, codet5_finetune_small, insert_log_statement, transformed, 7.487, 82.572
HumanEval-Java, codet5_finetune_base, insert_log_statement, original, 24.123, 84.372
HumanEval-Java, codet5_finetune_base, insert_log_statement, transformed, 10.825, 83.7
HumanEval-Java, codet5_finetune_large, insert_log_statement, original, 24.783, 83.06
HumanEval-Java, codet5_finetune_large, insert_log_statement, transformed, 13.065, 82.553
HumanEval-Java, plbart_finetune_base, insert_try_catch, original, 16.176, 83.816
HumanEval-Java, plbart_finetune_base, insert_try_catch, transformed, 0.0, 82.614
HumanEval-Java, plbart_finetune_large, insert_try_catch, original, 20.833, 84.16
HumanEval-Java, plbart_finetune_large, insert_try_catch, transformed, 0.0, 82.279
HumanEval-Java, codet5_finetune_small, insert_try_catch, original, 18.571, 84.462
HumanEval-Java, codet5_finetune_small, insert_try_catch, transformed, 0.0, 82.877
HumanEval-Java, codet5_finetune_base, insert_try_catch, original, 24.503, 84.264
HumanEval-Java, codet5_finetune_base, insert_try_catch, transformed, 0.0, 82.208
HumanEval-Java, codet5_finetune_large, insert_try_catch, original, 25.974, 83.147
HumanEval-Java, codet5_finetune_large, insert_try_catch, transformed, 0.0, 81.478
