Dataset, ModelName, Transformation, isTransformed, pass@10, codebleu
HumanEval-Java, plbart_base, variable_renaming, original, 21.26, 80.907
HumanEval-Java, plbart_base, variable_renaming, transformed, 1.961, 78.578
HumanEval-Java, plbart_large, variable_renaming, original, 24.242, 81.321
HumanEval-Java, plbart_large, variable_renaming, transformed, 4.762, 78.731
HumanEval-Java, codet5_small, variable_renaming, original, 2.913, 75.195
HumanEval-Java, codet5_small, variable_renaming, transformed, 0.0, 72.815
HumanEval-Java, codet5_base, variable_renaming, original, 2.424, 73.953
HumanEval-Java, codet5_base, variable_renaming, transformed, 3.012, 72.104
HumanEval-Java, codet5_large, variable_renaming, original, 3.593, 77.261
HumanEval-Java, codet5_large, variable_renaming, transformed, 3.012, 66.462
HumanEval-Java, plbart_base, method_renaming, original, 20.745, 80.907
HumanEval-Java, plbart_base, method_renaming, transformed, 20.321, 79.35
HumanEval-Java, plbart_large, method_renaming, original, 25.871, 81.321
HumanEval-Java, plbart_large, method_renaming, transformed, 24.365, 79.319
HumanEval-Java, codet5_small, method_renaming, original, 3.247, 75.195
HumanEval-Java, codet5_small, method_renaming, transformed, 3.871, 74.048
HumanEval-Java, codet5_base, method_renaming, original, 2.424, 73.953
HumanEval-Java, codet5_base, method_renaming, transformed, 3.012, 73.262
HumanEval-Java, codet5_large, method_renaming, original, 3.593, 77.261
HumanEval-Java, codet5_large, method_renaming, transformed, 3.012, 21.595
HumanEval-Java, plbart_base, parameter_renaming, original, 19.9, 80.907
HumanEval-Java, plbart_base, parameter_renaming, transformed, 19.095, 79.919
HumanEval-Java, plbart_large, parameter_renaming, original, 24.413, 81.321
HumanEval-Java, plbart_large, parameter_renaming, transformed, 24.413, 80.03
HumanEval-Java, codet5_small, parameter_renaming, original, 3.012, 75.195
HumanEval-Java, codet5_small, parameter_renaming, transformed, 3.012, 75.227
HumanEval-Java, codet5_base, parameter_renaming, original, 2.424, 73.953
HumanEval-Java, codet5_base, parameter_renaming, transformed, 3.012, 73.69
HumanEval-Java, codet5_large, parameter_renaming, original, 3.593, 77.261
HumanEval-Java, codet5_large, parameter_renaming, transformed, 3.012, 15.136
HumanEval-Java, plbart_base, boolean_exchange, original, 0.0, 81.16
HumanEval-Java, plbart_base, boolean_exchange, transformed, 0.0, 79.903
HumanEval-Java, plbart_large, boolean_exchange, original, 22.222, 80.818
HumanEval-Java, plbart_large, boolean_exchange, transformed, 0.0, 79.602
HumanEval-Java, codet5_small, boolean_exchange, original, 0.0, 78.109
HumanEval-Java, codet5_small, boolean_exchange, transformed, 0.0, 75.919
HumanEval-Java, codet5_base, boolean_exchange, original, 2.424, 78.169
HumanEval-Java, codet5_base, boolean_exchange, transformed, 3.012, 68.734
HumanEval-Java, codet5_large, boolean_exchange, original, 3.593, 82.344
HumanEval-Java, codet5_large, boolean_exchange, transformed, 3.012, 81.796
HumanEval-Java, plbart_base, loop_exchange, original, 21.978, 81.793
HumanEval-Java, plbart_base, loop_exchange, transformed, 3.401, 80.16
HumanEval-Java, plbart_large, loop_exchange, original, 23.656, 83.235
HumanEval-Java, plbart_large, loop_exchange, transformed, 8.974, 79.792
HumanEval-Java, codet5_small, loop_exchange, original, 1.389, 76.464
HumanEval-Java, codet5_small, loop_exchange, transformed, 0.0, 79.472
HumanEval-Java, codet5_base, loop_exchange, original, 2.424, 73.958
HumanEval-Java, codet5_base, loop_exchange, transformed, 3.012, 76.432
HumanEval-Java, codet5_large, loop_exchange, original, 3.593, 77.089
HumanEval-Java, codet5_large, loop_exchange, transformed, 3.012, 60.388
HumanEval-Java, plbart_base, reorder_condition, original, 19.814, 79.358
HumanEval-Java, plbart_base, reorder_condition, transformed, 10.799, 81.25
HumanEval-Java, plbart_large, reorder_condition, original, 20.658, 80.333
HumanEval-Java, plbart_large, reorder_condition, transformed, 15.546, 81.969
HumanEval-Java, codet5_small, reorder_condition, original, 4.437, 74.91
HumanEval-Java, codet5_small, reorder_condition, transformed, 3.828, 79.549
HumanEval-Java, codet5_base, reorder_condition, original, 2.424, 72.514
HumanEval-Java, codet5_base, reorder_condition, transformed, 3.012, 78.508
HumanEval-Java, codet5_large, reorder_condition, original, 3.593, 37.947
HumanEval-Java, codet5_large, reorder_condition, transformed, 3.012, 53.566
HumanEval-Java, plbart_base, insert_log_statement, original, 19.535, 80.276
HumanEval-Java, plbart_base, insert_log_statement, transformed, 11.282, 81.049
HumanEval-Java, plbart_large, insert_log_statement, original, 23.789, 80.856
HumanEval-Java, plbart_large, insert_log_statement, transformed, 15.196, 80.111
HumanEval-Java, codet5_small, insert_log_statement, original, 2.809, 76.092
HumanEval-Java, codet5_small, insert_log_statement, transformed, 1.143, 76.604
HumanEval-Java, codet5_base, insert_log_statement, original, 2.424, 74.034
HumanEval-Java, codet5_base, insert_log_statement, transformed, 3.012, 74.897
HumanEval-Java, codet5_large, insert_log_statement, original, 3.593, 39.836
HumanEval-Java, codet5_large, insert_log_statement, transformed, 3.012, 16.584
HumanEval-Java, plbart_base, insert_try_catch, original, 18.571, 80.034
HumanEval-Java, plbart_base, insert_try_catch, transformed, 0.0, 78.708
HumanEval-Java, plbart_large, insert_try_catch, original, 24.503, 79.945
HumanEval-Java, plbart_large, insert_try_catch, transformed, 0.0, 79.27
HumanEval-Java, codet5_small, insert_try_catch, original, 1.724, 76.019
HumanEval-Java, codet5_small, insert_try_catch, transformed, 0.0, 76.369
HumanEval-Java, codet5_base, insert_try_catch, original, 2.424, 72.434
HumanEval-Java, codet5_base, insert_try_catch, transformed, 3.012, 73.259
HumanEval-Java, codet5_large, insert_try_catch, original, 3.593, 78.032
HumanEval-Java, codet5_large, insert_try_catch, transformed, 3.012, 79.039
