Config, TestPasses, TestPassesRatio, CodeBLEU
BooleanExchange|plbart|base|c1,0/7,0.0,79.903
BooleanExchange|plbart|base|c2,0/7,0.0,70.808
BooleanExchange|plbart|large|c1,0/7,0.0,79.602
BooleanExchange|plbart|large|c2,1/7,14.286,73.798
BooleanExchange|plbart_finetune|base|c1,1/7,14.286,84.74
BooleanExchange|plbart_finetune|large|c1,2/7,28.571,85.063
BooleanExchange|codet5|small|c1,0/7,0.0,75.919
BooleanExchange|codet5|small|c3,0/7,0.0,74.159
BooleanExchange|codet5|base|c1,5/161,3.106,68.734
BooleanExchange|codet5|base|c3,0/7,0.0,71.363
BooleanExchange|codet5|large|c1,5/161,3.106,81.796
BooleanExchange|codet5|large|c3,0/7,0.0,73.517
BooleanExchange|codet5_finetune|small|c1,1/7,14.286,84.45
BooleanExchange|codet5_finetune|base|c1,1/7,14.286,85.395
BooleanExchange|codet5_finetune|large|c1,0/7,0.0,84.272
LogStatement|plbart|base|c1,22/173,12.717,81.115
LogStatement|plbart|base|c2,5/173,2.89,68.87
LogStatement|plbart|large|c1,31/173,17.919,80.182
LogStatement|plbart|large|c2,19/173,10.983,70.707
LogStatement|plbart_finetune|base|c1,14/173,8.092,83.735
LogStatement|plbart_finetune|large|c1,21/173,12.139,83.831
LogStatement|codet5|small|c1,2/173,1.156,76.667
LogStatement|codet5|small|c3,2/173,1.156,72.396
LogStatement|codet5|base|c1,5/161,3.106,74.964
LogStatement|codet5|base|c3,0/173,0.0,70.637
LogStatement|codet5|large|c1,5/161,3.106,16.605
LogStatement|codet5|large|c3,3/173,1.734,72.187
LogStatement|codet5_finetune|small|c1,14/173,8.092,82.62
LogStatement|codet5_finetune|base|c1,21/173,12.139,83.768
LogStatement|codet5_finetune|large|c1,26/173,15.029,82.613
LoopExchange|plbart|base|c1,5/142,3.521,80.208
LoopExchange|plbart|base|c2,2/142,1.408,73.59
LoopExchange|plbart|large|c1,14/142,9.859,79.819
LoopExchange|plbart|large|c2,6/142,4.225,75.094
LoopExchange|plbart_finetune|base|c1,8/142,5.634,85.866
LoopExchange|plbart_finetune|large|c1,11/142,7.746,84.849
LoopExchange|codet5|small|c1,0/142,0.0,79.521
LoopExchange|codet5|small|c3,0/142,0.0,74.459
LoopExchange|codet5|base|c1,5/161,3.106,76.463
LoopExchange|codet5|base|c3,0/142,0.0,68.631
LoopExchange|codet5|large|c1,5/161,3.106,60.394
LoopExchange|codet5|large|c3,0/142,0.0,73.441
LoopExchange|codet5_finetune|small|c1,8/142,5.634,84.89
LoopExchange|codet5_finetune|base|c1,9/142,6.338,84.594
LoopExchange|codet5_finetune|large|c1,13/142,9.155,84.255
MethodRenaming|plbart|base|c1,38/149,25.503,79.367
