Config, TestPasses, CodeBLEU
BooleanExchange|plbart|base|c1,100.0,79.903
BooleanExchange|plbart|base|c2,100.0,70.808
BooleanExchange|plbart|large|c1,100.0,79.602
BooleanExchange|plbart|large|c2,87.5,73.798
BooleanExchange|plbart_finetune|base|c1,87.5,84.74
BooleanExchange|plbart_finetune|large|c1,77.778,85.063
BooleanExchange|codet5|small|c1,100.0,75.919
BooleanExchange|codet5|small|c3,100.0,74.159
BooleanExchange|codet5|base|c1,96.988,68.734
BooleanExchange|codet5|base|c3,100.0,71.363
BooleanExchange|codet5|large|c1,96.988,81.796
BooleanExchange|codet5|large|c3,100.0,73.517
BooleanExchange|codet5_finetune|small|c1,87.5,84.45
BooleanExchange|codet5_finetune|base|c1,87.5,85.395
BooleanExchange|codet5_finetune|large|c1,100.0,84.272
LogStatement|plbart|base|c1,88.718,81.115
LogStatement|plbart|base|c2,97.191,68.87
LogStatement|plbart|large|c1,84.804,80.182
LogStatement|plbart|large|c2,90.104,70.707
LogStatement|plbart_finetune|base|c1,92.513,83.735
LogStatement|plbart_finetune|large|c1,89.175,83.831
LogStatement|codet5|small|c1,98.857,76.667
LogStatement|codet5|small|c3,98.857,72.396
LogStatement|codet5|base|c1,96.988,74.964
LogStatement|codet5|base|c3,100.0,70.637
LogStatement|codet5|large|c1,96.988,16.605
LogStatement|codet5|large|c3,98.295,72.187
LogStatement|codet5_finetune|small|c1,92.513,82.62
LogStatement|codet5_finetune|base|c1,89.175,83.768
LogStatement|codet5_finetune|large|c1,86.935,82.613
LoopExchange|plbart|base|c1,96.599,80.208
LoopExchange|plbart|base|c2,98.611,73.59
LoopExchange|plbart|large|c1,91.026,79.819
LoopExchange|plbart|large|c2,95.946,75.094
LoopExchange|plbart_finetune|base|c1,94.667,85.866
LoopExchange|plbart_finetune|large|c1,92.81,84.849
LoopExchange|codet5|small|c1,100.0,79.521
LoopExchange|codet5|small|c3,100.0,74.459
LoopExchange|codet5|base|c1,96.988,76.463
LoopExchange|codet5|base|c3,100.0,68.631
LoopExchange|codet5|large|c1,96.988,60.394
LoopExchange|codet5|large|c3,100.0,73.441
LoopExchange|codet5_finetune|small|c1,94.667,84.89
LoopExchange|codet5_finetune|base|c1,94.04,84.594
LoopExchange|codet5_finetune|large|c1,91.613,84.255
MethodRenaming|plbart|base|c1,79.679,79.367
MethodRenaming|plbart|base|c2,87.647,71.136
MethodRenaming|plbart|large|c1,75.635,79.335
MethodRenaming|plbart|large|c2,82.778,73.351
MethodRenaming|plbart_finetune|base|c1,81.868,82.826
MethodRenaming|plbart_finetune|large|c1,77.202,83.053
MethodRenaming|codet5|small|c1,96.129,74.048
